Model,MAE,MSE,RMSE,R2 Score
Random Forest,4216.101800655485,121520815.94221398,11023.648032398984,0.983233630963116
XGBoost,6216.13134765625,163386944.0,12782.290248621332,0.9774572849273682
Linear Regression,62177.71026855883,6668570971.772886,81661.31869969335,0.07992946727280392
